0;Бухарестская,Бухарестской,Купчино;{"address": "Бухарестская ул., 74, корп. 3"}
1;Новаторов;{"address": "бул. Новаторов, 8" }
2;Дачный,Дачном;{"address": "Дачный просп., 17, корп. 3" }
